person_name,article_url,letter
"ABALAIN Albert, Corentin, Hervé",spip.php?article142667&id_mot=10754,prison rennes mar très chers parent profite écrire mot crayon possession ignore quand recevrez cette lettre remise sans aucun doute compagnon cellule camarade maze remettra quand retrouvé liberté ca grave peine sévère si toutefois condamné situation aucun espoir sauver vie ailleurs officier instructeur a déclaré fusillé cela effraie mourrai bravement communiste fier avoir lutté indépendance pay sauver esclavage peuple france ceux livré allemands policiers français soi disant tels font pourvoyeurs cours martiales ceux là rendre compte jour conduite répugnante pu souffrir saurez jamais impossible imaginer sadisme chiens garde capitalistes vrai chez tristes individus tout sentiment patriotique a cessé exister exista jamais peut être pensé traîtres peuple muselé toujours cela assurait impunité déjà rendent compte erreur car justice marche là ba europe héros armée rouge infligent fauteurs guerre capitalistes sévères défaites partout peuples subjugués fascisme barbare redressent tête jour peut être proche régime bourgeois basé exploitation homme erreur mensonge superstition écroulera fracas jour là vengés policiers traîtres tout acabit rendront compte leurs actes peuple souverain jugera chers parent confiance avenir certitude sortirons victorieux combat auquel contraint fascistes sais pauvres chers parent mort plongera désespoir songez grandeur idéal lequel donne vie songez meurs autres parent plus tard connaissent tourments pensez fais sacrifice suprême sortir mass laborieuses animalité esclavage où tient capitalisme cité nouvelle travailleur enfin place revient première partout peuples vivront abondance libres égaux droits sans distinction race partout bonheur paix sociale car exploiteurs impitoyablement liquidés division luttes affaiblissent classe laborieuse capitalistes entretiennent après avoir provoquées fera place fraternité pensez tout cela chers parent mort paraîtra moins cruelle combien déjà tombés sou balles allemande martyr liberté après combien encore feront joie sacrifice leurs vies horreurs guerre épargnées générations venir vraiment mort paraît douce quand songe bonheur connaitront tout petits peu grâce cher papa sais fort malheur comme toujours console chère petite maman ainsi tous autres dis camarades resté jusqu bout fidèle idéal transmets dernier salut salut plus fraternel maintenant adieu chers parent adieu tous aimais vais attendre mort calme car conscience pure a tous envoie affectueux baisers fils albert
"ABARRATEGUI François, Benoît. Écrit parfois par erreur ABARRETEGUY François",spip.php?article88754&id_mot=10754,orthographe graphie origine respectée fort ha petite mere regrette tout ur peine immense vais causer ainsi toute famille vais être exécuté matin heure deux par sans peur courage souhaite tout ur être heureuse robert a serre cordialement main ainsi roro petit frère doi savoir quel motif meurs journaux informeront doi dire souffert pendant détention nourriture fort hâ beaucoup améliorée grâce aide croix rouge quskers diras bien bonjour part marcouw lorsqu reviendra allemagne ainsi rené panthère quand retour autriche diras toujours lorsque moment venu avertiras père diras embrasse bien fort embrasse aussi raymonde jeannette simone serre aussi vieux jeannot ur souhaite être heureux raymonde phrase provenant autre copie embrasse aussi vieille grand mère parrain vais causer peine immense tous quitte dit adieu serrant ur françois abarratégui
AILLOT Claude,spip.php?article9748&id_mot=10754,avril écrivit dernière lettre famille quelques heures fini rêvé beaucoup choses ici pense bien fort petite paulette vois moment entends sonner heures dis heures demain matin fini vois tremble espérais beau jours printemps si beau crépuscule vie an allemands laissé droit ajouter dernier mot juste avant exécution h adieu chers tous a dernières pensées toute affection oubliez
"ALEZARD Jean, Léon [ALÉZARD] [Pseudonymes : Gil André, Lescaut, Lemoine, Bassecourt]",spip.php?article9847&id_mot=10754,dernière lettre fresnes avril chère henriette chers frédo louis frères ur peine cause cruelle surtout faites maman consolée tellement dur deux heures vingt camarades fusillé meurs comme tant autres déjà france heureuse adresse dernier salut ani paulette odette géo rené solange gilbert gilberte ainsi dont heureux avoir élève ii évidemment dur mourir ainsi sans pouvoir embrasser ceux aime sacrifice inutile qualités morale a données parti grand réconfort permettent mourir calmement chère henriette arrange amie consoler donne quelques unes affaire pourront faire plaisir fortes revoyez temp temp exprime combien douleur grande oublie mme r fils bientôt guerre va finir victoire proche frédo louis reviendront cette victoire plus grand vers société meilleure mieux armée contre retour telles situation a chaque juillet jour anniversaire pensez dites bien regrette rien sacrifice bien ur serré quitter ainsi amie si maman pouvait avoir petit fils supporterait mieux douleur enfin heure approche où vais rejoindre ceux déjà payèrent vie trop grand amour vraie france meurs conscience tranquille personne tombé suite volonté communiste français vouloir tuerie après victoire châtier seule façon impose traîtres patrie livrés devant mort souhaite vie heureuse fort forte embrasse tous mourant crie vive liberté vive france a appris aimer parti communiste adieu jean
ALFONSO Celestino,spip.php?article9851&id_mot=10754,dernière lettre février chers femme fils aujourd hui heures fusillé soldat meurt france demande beaucoup courage comme main tremble sais pourquoi meurs très fier vie a peu courte espère vôtre plus longue regrette passé si pouvais encore revivre premier voudrais fils sic belle instruction tous pourrez réussir chère femme vendras vêtements faire peu argent colis trouveras franc dépôt fresnes mille baisers femme fils mille baisers tous adieu tous celestino alfonso a
"ALIÉMART Gilbert, Timothée [dit Roussel]",spip.php?article142921&id_mot=10754,fresnes chers papa maman cette fois ci va falloir grand courage condamnation mort vient être confirmée allons être exécutés aujourd hui heures croyez parce voyez écriture tremblée peur non émotion fait ça fais mauvais sang pardonnez faire tant mal retrouverons là haut croyez supplie dieu appelle dites grand parent fusillé dites fait coup tête parti sans laisser adresse reverrons là haut chers parent situation où trouve plus mot croyez saurai aller français embrasse très fort gilbert
"ANQUETIL Bernard, Jules, Eugène alias Lhermite ",spip.php?article149099&id_mot=10754,dernière lettre jour exécution vendredi octobre cher papa sans doute prévenu condamné mort cour martiale allemande octobre dernier être servi poste émétteur f papa instant vient dire vais être éxécuté soir si savais papa comme pense moment tant voulu revoir embrasser avant mourir vois impossible demande pardonner tout coeur envouloir vais mourir bon français chrétien car va venir aumônier instant espére vie meilleure là haut prierai beaucoup toute famille vais éssayer écrire tout monde pense aussi albert léon louise petit guy odette armand fulgence florestine renée richard geneviève tout monde compris tante philippe diras bien choses ainsi tous amis vois papa si moment pleure peur bien jamais revoir fait enrager bien fois souvent ennuyé sais voulais mieux fait demander odette prendre comme ouvrier agricole libération plutôt car ici moment veux cela devait être destinée voulu soulager vieillesse proposais plus tard rendre heureux vois réussi surtout papa tourmente vais mourir bon chrétien pense dimanche messe assure penserai constamment pense aussi maman tant choses avertis monsieur madame pommier moment prison fresne prés paris sais où vais être éxécuté crois ici renseigneras auprès monsieur aumonier prison retrouver sépulture car assiste jusqu dernier moment espérais recours grâce a accepté pauvre papa mal vais faire lisant ligne courageux efforce être moment vais éssayer mourir bravement crois fusillé pourtant assure voulu mourir tout suite voulu rendre voir heureux avant laisse soin tous frère soeurs sais toujours bons mémoire confiance car sais papa si pratiquais toutes fois dû faire quand catholique force car moment aperçoit confiance vie meilleure forcément abattu car toujours confiance recours grâce voit faut croire dieu a voulu quand pense quand reçevras ligne plus vie cela fait drôle impres sion surtout cher papa essaye tout moyens retrouver tombe peut être pouvoir venir toutes affaire ramassées certainement geneviève vais écrire doit marier fin année plaisir voir moins là haut cher papa revois pensée moment heures aprés midi doi finir manger odette armand car marchez certainement heure ancienne cellule prison vient avertir recours grâce a refusé vais être éxécuté tout heure vais mourir heureux quand car sais toute famille prendra bien soin manqueras rien avertis albert embrasse bien fort part cher papa demande avoir honte surtout pardonner faire tant mal écrit envoyer colis peine comme vois voudras bien embrasser bien fort part odette armand florestine fulgence renée richard albert geneviéve ainsi léon louise petit guy quand reverras tante cousin cousines bernard edith ainsi tous amis trévières ailleurs prisonniers compris cher papa interromps quelques minute trouver quelques ligne tous monde derniéres dis adieu embrasse bien fort loin bons milles baisers fils aime a jamais oublié bernard conféssé viens communier adieu bernard
"ARGILLOS Gérard, Jean",spip.php?article149103&id_mot=10754,reproduction faite mme argillos lettre écrite fils jean gérard argillos saisie dominique mazon dernière lettre orthographe rédaction origine respectées cher papa chère maman environ h viens confesser monsieur curé hôpital saint andré viens également communier part loing aportant souvenir si cher mère père yeyette sosso klébert petits chéris sans oublier baiser tous oncles tantes sachez devant poteau mort fait peur mort fait trembler catholique français tiens dire maman papa dur sans doute faites vôtre possible petit afin malheureux quant femme chérie petite renée remarie quelques temp heureuse faut comprendre jeune espère tombera bien adresse tous bien gros baisers derniers monde dieu garde âme gérard jean gérard argillos
"ARGOUACH Lucien, Étienne, [ARGOUAC’H]",spip.php?article158283&id_mot=10754,fresnes cher papa chère maman regrette avoir causer grosse peine comme savez condamné mort depuis mois août avocat fait demande recours grâce malheureusement a rejetée maintenant onze heures matin vais être fusillé heures croyez celà fasse peur fils saura mourir français communiste conscient avoir fait devoir jusqu bout toujours triste quitter vie an cela cela dur pauvres parent heureusement encore jean nénette surtout petit dédé aimez bien celà consolation demanderai comme suprême consolation oublier racaille policiers français tous arrêtés traités comme bêtes sang appelle sang sans pitié traites pay brute indignes vivre allemands toujours bien traités lutté contre vaincus devon payer régulier espère chers parent peine diminuée pensant fils mort vain victoire proche grande consolation savoir moins vivrez libres pense verrez grande famille communiste unie joie voir enfin réalisée unité prolétarienne quitte chers parent ainsi tous ceux aime ressens aucune tristesse car sais sacrifice vain sachez cependant dernière pensée embrassez dernière fois toute famille fils embrasse bien fort vive france vive parti communiste lucien adieu grand paul accompagne dernier voyage courage chers p monot
"ARNOULD René, Alexandre",spip.php?article149107&id_mot=10754,dernière lettre h pauvres chéris condamnées mort exécution tout suite courage pauvre chérie embrasse ainsi go rené communié élève go mieux pourras
"ARTHUS Jean, Marie, Ernest, Maurice",spip.php?article147142&id_mot=10754,dernière lettre père février grand chéri sais si attendais revoir attendais a appris matin fini alors adieu sais coup très rude espère assez fort sauras continuer vivre gardant confiance avenir travaille fais cela continue livres voulais écrire pense meure français patrie embrasse bien adieu grand chéri jean arthus
"AUBOUET André, Maurice",spip.php?article10382&id_mot=10754,dernière lettre chère maman cher papa écris santé heure moins dix vient prévenir exécutés soir permission écrire quelques lettres visites interdites chagrin immense avoir revus dernière fois espérais pouvoir revoir ainsi ur petite nièces neveux beau frère chère petite fiancée anne marie prévenue comme espère hélas cette dernière satisfaction supplie avoir trop peine sais cruel fait sacrifice vie idéal patrie comme tous camarades courageux ainsi camarade tardif demeure première cour copain rue decré demande pardon papa toutes misères faites aimais bien quand croyait faisais exprès demande pardon car aimait bien malgré tout disait maintenant reverrai plus vais faire quelques recommandations papa prévienne fiancée embrasse bien fort dise penserai jusqu dernière minute vais écrire imprimerie espère recevra lettre vais faire paquet affaire remettre souvenir garde mouchoir maman a mi dernier colis emporterai car paire gants restée colis remercie colis ainsi tous ceux envoyé douceurs vais tout finir tout heure dernier repas donnerez livres breton direz adieu ainsi tous copains vais quitter dernière fois car temp presse vais écrire ur fiancée donc adieu petite mère chérie petit père chéri embrasse bien fort dédé vive france indépendante
"AUBOURG Jean, François dit Marcel",spip.php?article149114&id_mot=10754,dernière lettre orthographe rédaction origine respectées cher rené seuil grand voyage vert éternité fais adieu espère très heureux charmante petite compagne choisie vie petite hélène feras plus doux adieu famille dont emporte meilleurs souvenir ainsi pierrot pujol famille a pierrot hirigoyen paulette toute famille a famille pellegris où prenais pension feras adieu tous camarades patronage passé bon moment après guerre si possible demanderais faire nécessaire transporte bruges cette commune aimé où passé toute jeunesse considère comme pay cé là voudrais reposé feras aussi adieu roger bichet famille envoi lettre ur enverras dont voici adresse monsieur madame adrien fonbaudeau st andré cubzac gironde termine lettre envoyant tous plus doux baisers signé tapinois
